Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
JorgeIg35374759;0.285714;0.22619;0.202381;0.285714
me_ojedacatalan;0.234432;0.296703;0.234432;0.234432
Vaneza71436778;1;0;0;0
pochirry;0;1;0;0
karenishkavill1;0.200376;0.234211;0.304511;0.260902
ssanderssonnss;0.222527;0.282967;0.197802;0.296703
CarocaDarinka;0;0;1;0
Maclgos;0.241071;0.236607;0.241071;0.28125
EstellalunaJ;0.333333;0;0.333333;0.333333
Cristob74116819;0.239719;0.306818;0.231061;0.222403
Kaguyasamadesu;0.278571;0.3;0.195238;0.22619
JaimeFi57576687;0.296703;0.26511;0.222527;0.215659
Pabla2255102021;0.247449;0.298469;0.160714;0.293367
aROMBriatqlIubW;0.289286;0.260714;0.160714;0.289286
RLopezgg;1;0;0;0
KarinaR44612458;0;0;0.5;0.5
MaraVil11903454;0;0.675;0;0.325
giovanni_veg;0.206498;0.275779;0.213212;0.304511
abogadosSalAlar;0.289286;0.242857;0.178571;0.289286
betocoddou;0;0.72;0;0.28
casiope39868094;0.22449;0.303571;0.19898;0.272959
KateC23004619;1;0;0;0
FractalDy;0.263095;0.247619;0.189286;0.3
LauraPe73061537;1;0;0;0
IgnacioBarriaO2;0.22619;0.294643;0.252976;0.22619
JRodherik;0.333333;0;0.333333;0.333333
Carlos51108469;0.261161;0.301339;0.189286;0.248214
HectorC42220805;0.306818;0.27013;0.204221;0.218831
MarcelaBorque10;0.192708;0.273065;0.232887;0.301339
Eric06136638;0.289286;0.192857;0.228571;0.289286
PATRICIAGALLA12;0;0;0.5;0.5
Bianca02565864;0.305357;0.278316;0.192092;0.224235
AtencioBarra;0;1;0;0
Alfredoletras;0;1;0;0
Vtk86981442;0;1;0;0
Sandra06928313;0;1;0;0
CatrilLeal;0;0;0;1
YasuriAraya;1;0;0;0
ClaudioRebolle7;0;0;0;1
AndresJ04682566;0;0;0.5;0.5
21_BEAST_;0.241071;0.252976;0.21131;0.294643
Atos51765915;0.666667;0.333333;0;0
ANDRES79502223;0.414474;0.348684;0.236842;0
felipemzista;0.266263;0.301339;0.166135;0.266263
karin98155757;0.5;0;0.5;0
Patrici31628516;0;1;0;0
JRochaalcalde;0.238095;0.294643;0.252976;0.214286
Marielinda76;0;0;0;1
CarlosF58700258;0;1;0;0
GermanJGP;0;1;0;0
AsteteAngela;0.232887;0.301339;0.232887;0.232887
Patricioaccurso;1;0;0;0
Barraza12Pamela;1;0;0;0
LDanays;0;0.325;0.675;0
MaikMai01754613;1;0;0;0
ChikitaToi;0.22619;0.294643;0.22619;0.252976
HenryGr93954546;0.252551;0.252551;0.196429;0.298469
QuintanillaRous;0.308036;0.236607;0.205357;0.25
Paulopa98096229;0.5;0;0.5;0
MarceloFerrada9;0.22449;0.26148;0.215561;0.298469
icontreras2008;0.245671;0.292208;0.245671;0.21645
frncs58986069;0.215659;0.234432;0.253205;0.296703
civan_jerezz;0;1;0;0
ignaciajoustra5;0.220982;0.301339;0.227679;0.25
Urmahcat;0.3;0.207143;0.264286;0.228571
rsulaValdivia1;0.675;0.325;0;0
felipejuve31;0.298469;0.241497;0.195578;0.264456
Joserodrigoord8;0;1;0;0
arteurb86021060;0;1;0;0
Angeles85291119;0;0;0;1
VictorJesusOre1;0.296703;0.26511;0.141484;0.296703
Cristia12173338;1;0;0;0
Cristia89665327;0;0;1;0
Francis98618385;0;1;0;0
BarredaNikol;0.5;0;0;0.5
PanchoTapia13;0.210714;0.305357;0.236905;0.247024
MonicaC97980800;0.5;0;0;0.5
AnaVict68608276;0;0;0.5;0.5
Thiare74627474;0;0.338346;0.255639;0.406015
jesusci08957577;0.178571;0.22449;0.298469;0.298469
carohoo1;0;0;0;1
CintiaBarriaT;0;0;1;0
AleNazco;0.172619;0.252976;0.301339;0.273065
Mdjahed79124460;0.301339;0.273065;0.212798;0.212798
filun_gaston;0;1;0;0
elmer3161;0.428571;0;0.285714;0.285714
negrismarce;0.296703;0.271978;0.212088;0.219231
maxilatrillerg1;0;0;0;1
Catalin99334958;0;1;0;0
DayanaV28994673;0;1;0;0
ValeriaSuazo18;0;0;1;0
Gilbertolavall1;0;0;1;0
G25Joce;0.27551;0.298469;0.173469;0.252551
Mari84308050;0.289286;0.225;0.225;0.260714
Nikit59559906;0.215659;0.296703;0.256181;0.231456
Aguilas010;0.224588;0.296703;0.271978;0.206731
tutimiranda;0.223214;0.303571;0.214286;0.258929
MiriamQueipul;0;1;0;0
Miky34097160;0;1;0;0
Oscar_Vid4;0;1;0;0
Lishaoran15;0.294643;0.25;0.25;0.205357
KevinAr10418521;1;0;0;0
AlejandraBack;0;0;0.5;0.5
PabloInfanteR;0;0;0;1
maccaburgos_;0;1;0;0
Victor44804607;0.213212;0.304511;0.223416;0.258861
Camila39732708;0.216199;0.266263;0.301339;0.216199
AlvaroMankeC;0.225;0.289286;0.260714;0.225
Medicenrod1;0.257143;0.260714;0.192857;0.289286
JPBR1980;0;0;1;0
nuezleslie1;1;0;0;0
FrancoM40217514;0.277778;0.166667;0.277778;0.277778
ncanihuantea;0.270089;0.301339;0.21875;0.209821
johannna2014;0.333333;0;0.333333;0.333333
FouereSara;0;0;0;1
CiroG16;1;0;0;0
jeannet99724472;0;0;1;0
orangsandosi2;0;0;1;0
NelaLopez12;0;0;0.5;0.5
Faraendam;0.298469;0.264456;0.218537;0.218537
Felipe74408570;0;1;0;0
tanty1955;0.234375;0.301339;0.229911;0.234375
Susy83818637;0;0;1;0
NicolsB70836164;0.289286;0.242857;0.289286;0.178571
carlosm84784631;0.302521;0.271849;0.203361;0.222269
Yolanda85186128;0.215659;0.231456;0.296703;0.256181
DMEDIOS_CL;0;0;0;1
Patolin07979049;0.231456;0.256181;0.296703;0.215659
Felipe71988623;0.184524;0.236905;0.289286;0.289286
Franco197980;0.296703;0.26511;0.190934;0.247253
Jc44299481;0;0;0;1
Luis39874672;0;1;0;0
miikval29;0;1;0;0
fpizarromora;0;1;0;0
mawrse;0.253571;0.3;0.192857;0.253571
Sebasti81295403;0;0;0;1
babic_catalina;0.267857;0.196429;0.267857;0.267857
ReinerFuentesF;0;1;0;0
Victor_Cerda_Vi;0.304511;0.27782;0.16391;0.253759
u_joseto;0;0;0;1
Vcky77630270;0.22449;0.298469;0.23852;0.23852
Claudio98454193;0.229592;0.3;0.245918;0.22449
D_Navea;0.301339;0.270089;0.209821;0.21875
ContrerasSeitz;0.213265;0.306122;0.201531;0.279082
MaiteFuenzalid4;0.378947;0;0.378947;0.242105
JavieraMC5;0;1;0;0
Ariel_alfonsooo;1;0;0;0
Alex62893914;0;0;1;0
RuthyMillar;0.222222;0.305556;0.25;0.222222
JoseTrato;0.285714;0.232143;0.196429;0.285714
Victor28120720;0;1;0;0
CamiloNS2;0;0;0;1
Wiwi694;0;0;0.5;0.5
Gerson07465461;0.289286;0.260714;0.225;0.225
Patrick89717030;0;1;0;0
Natalia64457099;0.17289;0.242695;0.292208;0.292208
robin_deric;0.210714;0.261607;0.222321;0.305357
Yonatha69507659;0.215368;0.309524;0.198052;0.277056
Aliciq86313067;1;0;0;0
FelipeInsulza;0;0;1;0
johane_delgado;0;1;0;0
Alberto80081029;0.202381;0.22619;0.285714;0.285714
fefytahh;0.215659;0.296703;0.231456;0.256181
Fabin26884352;0.270658;0.251751;0.17507;0.302521
Cindi66916851;0.289286;0.260714;0.225;0.225
