Usuario;Coorporativa;soyvaldiviacl;latercera;elmostrador
CamilaS85842272;0.0;1.0;0.0;0.0
patty_gvi;0.0;1.0;0.0;0.0
CMCarabineros;0.5;0.0;0.0;0.5
edumiragu;0.666667;0.0;0.0;0.333333
iturra_pau;0.0;0.0;0.333333;0.666667
_macarena182;0.0;0.0;0.5;0.5
yessica_yo;0.23351599999999997;0.299451;0.23351599999999997;0.23351599999999997
AndreaBoyco;0.223214;0.227679;0.290179;0.258929
Lexdir_cl;0.218187;0.283613;0.24219699999999997;0.256002
Julyestef;0.178571;0.252551;0.284439;0.284439
igmendezor;0.19610999999999998;0.251275;0.286352;0.266263
Edorey;0.28265300000000004;0.22091799999999998;0.259694;0.236735
ester_manzo;0.25297600000000003;0.279762;0.22619;0.241071
amunozs;0.25;0.25;0.25;0.25
sandraoyarzuns;0.254727;0.292542;0.16911800000000002;0.283613
patrimoniocl;0.256002;0.288715;0.2509;0.20438199999999998
Piri_Iriarte;0.264286;0.232143;0.23928600000000003;0.264286
maurovk11;0.254396;0.22966999999999999;0.23681300000000002;0.279121
matsMaks;0.236735;0.259694;0.22091799999999998;0.28265300000000004
cinthyalissette;0.221429;0.28571399999999997;0.228571;0.264286
TitonaxO;0.215126;0.27184899999999995;0.222269;0.290756
andres_r_j;0.248214;0.288393;0.195089;0.268304
MadridAficion12;0.2875;0.266071;0.167857;0.278571
elbalagos11;0.22619;0.29379299999999997;0.21386100000000002;0.266156
regina_pack95;0.227273;0.294643;0.217127;0.26095799999999997
Dario_orp;0.273065;0.30133899999999997;0.164435;0.26116100000000003
FLindolla;0.265664;0.287594;0.176065;0.270677
KAUM_LosRios;0.241071;0.28571399999999997;0.232143;0.241071
beervaldivia;0.227273;0.288961;0.241883;0.241883
DagofloL;0.23273200000000002;0.299254;0.23273200000000002;0.235283
familiaasp;0.212302;0.28968299999999997;0.22222199999999998;0.275794
Reconocidosnet;0.299286;0.277143;0.194286;0.22928600000000002
N1c0l45QV;0.282062;0.257305;0.163961;0.296672
hellesiri2;0.21645;0.29220799999999997;0.245671;0.245671
MariaEs75549772;0.22449000000000002;0.29081599999999996;0.22449000000000002;0.260204
SaaScar;0.216912;0.288078;0.24028400000000003;0.254727
DZP2022;0.264286;0.264286;0.207143;0.264286
pinedape;0.238796;0.287582;0.234827;0.238796
josec266;0.223289;0.269808;0.218187;0.288715
NicoToxico;0.254396;0.279121;0.212088;0.254396
cgcardenaso;0.24285700000000002;0.28571399999999997;0.228571;0.24285700000000002
rodrigochaura;0.282004;0.294063;0.21196700000000002;0.21196700000000002
MarrceloG;0.22987;0.27013000000000004;0.204221;0.295779
Mery83919744;0.221532;0.29744699999999996;0.19755;0.28347100000000003
Carretes;0.25;0.29591799999999996;0.22959200000000002;0.22449000000000002
selloudec;0.225;0.289286;0.24285700000000002;0.24285700000000002
valenzuelabaid;0.209821;0.272321;0.290179;0.227679
TurismoC0ntigo;0.287202;0.24702399999999997;0.267113;0.19866099999999998
vivipizarrob;0.27184899999999995;0.23403400000000002;0.302521;0.191597
barriobenavente;0.23681300000000002;0.254396;0.279121;0.22966999999999999
Helen43338619;0.294643;0.272959;0.20790799999999998;0.22449000000000002
Fernand24106410;0.28125;0.30803600000000003;0.197917;0.21279800000000001
