followee;follower;id_followee;id_follower;followee_count;followers_count
Cooperativa;Lucas46613336;0;1685;43;0
Estereoscopio_;Lucas46613336;15171;1685;43;0
alexandresgm;Lucas46613336;33420;1685;43;0
Cooperativa;Walter06506495;0;2816;11;0
elmostrador;Walter06506495;3;2816;11;0
Cooperativa;FabianO89073630;0;1066;26;0
latercera;FabianO89073630;2;1066;26;0
Delvientonegrx;FabianO89073630;33184;1066;26;0
vir_giniaok;FabianO89073630;29092;1066;26;0
Lucas46613336;FabianO89073630;1685;1066;26;0
Cooperativa;Verdatagiando;0;1235;876;620
mauroxpp;Verdatagiando;1234;1235;876;620
prez_bernardo;Verdatagiando;1841;1235;876;620
Cooperativa;pantruquera;0;41796;501;107
latercera;pantruquera;2;41796;501;107
VanessaPC_25;pantruquera;13428;41796;501;107
Cooperativa;Alejand27703733;0;2953;176;3
pgibaceta;Alejand27703733;25629;2953;176;3
MaryyMesa;Alejand27703733;24301;2953;176;3
Cooperativa;Felipe39299429;0;1875;15;0
Cooperativa;Merca36320706;0;2020;14;1
Clau_LaraS;Merca36320706;13564;2020;14;1
Cooperativa;Melioda24738632;0;1057;36;0
elmostrador;Melioda24738632;3;1057;36;0
Cooperativa;AmandaRebolled6;0;2433;5;0
Cooperativa;AlmaBuguena;0;1134;72;2
memarchodeviaje;AlmaBuguena;28564;1134;72;2
Cooperativa;ZampedriMiDios;0;41810;955;898
chofernic;ZampedriMiDios;13497;41810;955;898
antonietaornel2;ZampedriMiDios;31319;41810;955;898
Cooperativa;KvAAvtKcixHEK95;0;491;4;0
Cooperativa;01101100Cat;0;571;227;112
Cooperativa;Andrea00921232;0;880;102;0
latercera;Andrea00921232;2;880;102;0
elmostrador;Andrea00921232;3;880;102;0
ikersar;Andrea00921232;17375;880;102;0
Cooperativa;maggyrubilar;0;2992;34;0
latercera;maggyrubilar;2;2992;34;0
elmostrador;maggyrubilar;3;2992;34;0
Cooperativa;Claudio37002755;0;1615;28;3
latercera;Claudio37002755;2;1615;28;3
elmostrador;Claudio37002755;3;1615;28;3
jelissa24661358;Claudio37002755;21767;1615;28;3
Cooperativa;Abigail19199878;0;1121;11;0
ChellePriscila;Abigail19199878;36207;1121;11;0
Cooperativa;vanessa17821958;0;1980;21;0
Cooperativa;PABLO67637912;0;885;9;0
Cooperativa;Nataly61572534;0;1407;5;0
