************** RANKING TOP 10 **************
Influenciables
0 - Usuario: panoramasgratis; Seguidos: 86
1 - Usuario: PatiVeloso_D24; Seguidos: 76
2 - Usuario: barriolasanimas; Seguidos: 67
3 - Usuario: MunicipalVald; Seguidos: 65
4 - Usuario: ferr_altermatt; Seguidos: 58
5 - Usuario: gealtor; Seguidos: 54
6 - Usuario: pautalosrios; Seguidos: 50
7 - Usuario: Emol; Seguidos: 48
8 - Usuario: Shilevision_CL; Seguidos: 48
9 - Usuario: patriciorosas; Seguidos: 41

Influyentes
0 - Usuario: pachidiaze; Seguidores: 104
1 - Usuario: DBustosKorts; Seguidores: 104
2 - Usuario: Christhitho; Seguidores: 103
3 - Usuario: LaMazurquita; Seguidores: 103
4 - Usuario: 24genco; Seguidores: 103
5 - Usuario: tatto_falconi; Seguidores: 103
6 - Usuario: jcmr2009; Seguidores: 103
7 - Usuario: RodrigoRACT; Seguidores: 103
8 - Usuario: FcoUlloaMontes; Seguidores: 103
9 - Usuario: cecilialosrios; Seguidores: 103
